,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Issn1,Issn2
156,12394,Nature Structural and Molecular Biology,journal,"15459993, 15459985",7.151,Q1,303,15459993,15459985
157,11700154368,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,journal,"16181913, 00738301",7.086,Q1,49,16181913,00738301
158,14204,Nucleic Acids Research,journal,"03051048, 13624962",7.048,Q1,637,03051048,13624962
159,18100156701,Nature Chemistry,journal,"17554330, 17554349",6.94,Q1,291,17554330,17554349
160,19897,European Urology,journal,"18737560, 03022838",6.928,Q1,261,18737560,03022838
161,120008,Annual Review of Physiology,journal,"00664278, 15451585",6.87,Q1,237,00664278,15451585
162,21272,Journal of Experimental Medicine,journal,"00221007, 15409538",6.838,Q1,490,00221007,15409538
163,17814,Materials Science and Engineering: R: Reports,journal,0927796X,6.822,Q1,172,0927796X,
164,21101046230,Electrochemical Energy Reviews,journal,"25208136, 25208489",6.791,Q1,62,25208136,25208489
165,18567,Fungal Diversity,journal,"15602745, 18789129",6.787,Q1,123,15602745,18789129
166,19651,Clinical Microbiology Reviews,journal,"08938512, 10986618",6.762,Q1,331,08938512,10986618
167,22330,Organizational Research Methods,journal,"15527425, 10944281",6.712,Q1,138,15527425,10944281
168,72242,International Journal of Computer Vision,journal,"09205691, 15731405",6.668,Q1,221,09205691,15731405
169,7500153126,Journal of the European Economic Association,journal,"15424774, 15424766",6.658,Q1,119,15424774,15424766
170,29857,Journal of Accounting Research,journal,"1475679X, 00218456",6.625,Q1,169,1475679X,00218456
171,21100886132,Science Robotics,journal,24709476,6.601,Q1,101,24709476,
172,17555,Journal of Monetary Economics,journal,03043932,6.564,Q1,149,03043932,
173,21100788876,Chem,journal,"24519308, 24519294",6.556,Q1,144,24519308,24519294
174,19900191884,American Economic Journal: Economic Policy,journal,"19457731, 1945774X",6.519,Q1,88,19457731,1945774X
175,19700174677,Science Translational Medicine,journal,"19466234, 19466242",6.51,Q1,284,19466234,19466242
176,21100203115,Nano-Micro Letters,journal,"23116706, 21505551",6.484,Q1,116,23116706,21505551
177,18395,Annual Review of Cell and Developmental Biology,journal,"15308995, 10810706",6.456,Q1,240,15308995,10810706
